iter	Logloss
0	0.6886481163
1	0.6839875464
2	0.6800225249
3	0.6760379275
4	0.6721901342
5	0.6687279199
6	0.6652764922
7	0.6625815452
8	0.6594609631
9	0.6568134587
10	0.6541661586
11	0.6519383048
12	0.6495638386
13	0.6469376062
14	0.644879994
15	0.6431922525
16	0.6418179266
17	0.6395692404
18	0.637779264
19	0.6350841834
20	0.6331190483
21	0.6316869865
22	0.6298934899
23	0.6284666633
24	0.6264729498
25	0.6246786139
26	0.6231296409
27	0.6216649028
28	0.6202891734
29	0.6192081467
30	0.6184838727
31	0.6176472949
32	0.6162212936
33	0.6153148434
34	0.614260692
35	0.61282488
36	0.6118582275
37	0.6105640591
38	0.6093859984
39	0.6086922802
40	0.6076192244
41	0.6071560591
42	0.606142049
43	0.6055489829
44	0.6047310301
45	0.6041872845
46	0.6028268935
47	0.6019847946
48	0.6015733261
49	0.6009146884
50	0.6003635643
51	0.6001586407
52	0.5995229453
53	0.5991284951
54	0.5982480736
55	0.5976623759
56	0.5970188077
57	0.5962328216
58	0.5961110109
59	0.595582037
60	0.5948109291
61	0.5943958539
62	0.5941520034
63	0.5937875539
64	0.5933842621
65	0.592781071
66	0.5918639405
67	0.5914605415
68	0.5907831337
69	0.5903940362
70	0.5896558215
71	0.5892201702
72	0.5888532346
73	0.588498046
74	0.5880354059
75	0.5869969458
76	0.5867771621
77	0.5859095628
78	0.5856568082
79	0.584931881
80	0.5843395443
81	0.583868257
82	0.5831356556
83	0.5824422164
84	0.5821044169
85	0.5811076115
86	0.5801000152
87	0.5792201916
88	0.5791167783
89	0.5790110827
90	0.5783930027
91	0.5774383401
92	0.5769548008
93	0.5767520429
94	0.5760626597
95	0.5754654978
96	0.5747694169
97	0.5744398505
98	0.5741080934
99	0.5737016271
100	0.5733605207
101	0.5731646205
102	0.5726003545
103	0.5720515503
104	0.5715597937
105	0.5713201282
106	0.571007354
107	0.5709226297
108	0.5709226037
109	0.5702749133
110	0.5700493606
111	0.5696032333
112	0.5695247643
113	0.568743662
114	0.5682874559
115	0.5679398315
116	0.567695359
117	0.5675094408
118	0.5673665823
119	0.5666321914
120	0.5662372401
121	0.5659648533
122	0.5655895301
123	0.5649817221
124	0.5645864497
125	0.56430024
126	0.5638676797
127	0.5635979699
128	0.5630864798
129	0.5627492226
130	0.5626487021
131	0.5624056819
132	0.5621039918
133	0.5617710045
134	0.5613734949
135	0.561334341
136	0.5613058697
137	0.5608353546
138	0.5606751905
139	0.560503831
140	0.5605038034
141	0.5603523362
142	0.560200705
143	0.5599246602
144	0.5591841387
145	0.5590206506
146	0.5576599673
147	0.557489856
148	0.5571126567
149	0.5568026138
150	0.5560621224
151	0.5558281582
152	0.5551839268
153	0.5551839268
154	0.5550710796
155	0.5546871366
156	0.5545932657
157	0.5545864415
158	0.5542187011
159	0.5533832832
160	0.5530133048
161	0.5523390992
162	0.5519367548
163	0.5516957691
164	0.5513360681
165	0.5510896909
166	0.5507240726
167	0.5506038338
168	0.5504153427
169	0.5504139966
170	0.5501874609
171	0.5501868168
172	0.5499236317
173	0.5495683751
174	0.5491732428
175	0.5489950963
176	0.5479815357
177	0.5478478605
178	0.5473299836
179	0.5470297598
180	0.5466906
181	0.5463419692
182	0.5457985457
183	0.5457110861
184	0.5456990837
185	0.5456001856
186	0.5453378967
187	0.5450846438
188	0.5448595378
189	0.5446502142
190	0.544269795
191	0.544200979
192	0.5439585917
193	0.5439017094
194	0.543901602
195	0.5438690911
196	0.5435599582
197	0.5433598479
198	0.5429611182
199	0.5428639861
200	0.5424092749
201	0.5417222388
202	0.5405762771
203	0.5403612056
204	0.5402418541
205	0.5397361082
206	0.5393568712
207	0.5388817385
208	0.5386444868
209	0.5382521249
210	0.5381500258
211	0.5378138818
212	0.5377421383
213	0.5373761937
214	0.5373761081
215	0.5373136758
216	0.5372627534
217	0.5369413969
218	0.536610282
219	0.5364037494
220	0.5362514364
221	0.5361378514
222	0.5360474459
223	0.5355111052
224	0.5354292087
225	0.5353989972
226	0.5353989861
227	0.5348924302
228	0.5345641786
229	0.5342675766
230	0.5341137264
231	0.5340298656
232	0.5338560757
233	0.5336110785
234	0.5334605316
235	0.533124454
236	0.5329681903
237	0.532818047
238	0.5324955575
239	0.5322839339
240	0.5321400945
241	0.5320490349
242	0.5313787005
243	0.5308513107
244	0.5307930671
245	0.5307128982
246	0.5300122593
247	0.5297629628
248	0.5294631156
249	0.5293150966
250	0.5292253596
251	0.5290112832
252	0.5289754038
253	0.5287081876
254	0.5286484943
255	0.5286483416
256	0.5282793378
257	0.5278831467
258	0.5274985148
259	0.5274153384
260	0.5273225691
261	0.5272239955
262	0.5268248794
263	0.5261973005
264	0.5259459132
265	0.5253242482
266	0.5251562955
267	0.5247492372
268	0.5246790997
269	0.524587199
270	0.5245827607
271	0.5245569533
272	0.5245358174
273	0.5244066593
274	0.5243518435
275	0.5235510959
276	0.5233963654
277	0.5232941928
278	0.5230994183
279	0.5227404467
280	0.5226502025
281	0.5225862179
282	0.5223685261
283	0.5223640168
284	0.5222754338
285	0.5216237203
286	0.5214843623
287	0.5211859689
288	0.5209605562
289	0.5207414396
290	0.520573518
291	0.5200394226
292	0.5197979481
293	0.519427633
294	0.5192435215
295	0.5189386236
296	0.5185614674
297	0.5182496545
298	0.5177645615
299	0.5176000608
300	0.5174355578
301	0.5170560215
302	0.5168191516
303	0.5163153084
304	0.5162445638
305	0.5156795343
306	0.5154905474
307	0.5151837236
