iter	Passed	Remaining
0	73	73652
1	129	64557
2	189	63101
3	250	62442
4	310	61882
5	368	60993
6	433	61430
7	492	61101
8	550	60670
9	608	60258
10	666	59967
11	725	59710
12	784	59590
13	846	59640
14	901	59229
15	961	59157
16	1011	58462
17	1072	58509
18	1132	58467
19	1190	58336
20	1252	58394
21	1313	58389
22	1370	58216
23	1433	58285
24	1493	58255
25	1554	58247
26	1613	58146
27	1672	58052
28	1733	58057
29	1791	57913
30	1848	57768
31	1908	57724
32	1968	57696
33	2034	57794
34	2095	57772
35	2156	57741
36	2214	57637
37	2271	57509
38	2329	57394
39	2387	57308
40	2447	57251
41	2491	56827
42	2551	56781
43	2606	56624
44	2669	56653
45	2704	56089
46	2764	56050
47	2827	56086
48	2865	55604
49	2922	55522
50	2979	55433
51	3004	54778
52	3069	54838
53	3125	54751
54	3185	54731
55	3241	54639
56	3298	54561
57	3352	54445
58	3381	53935
59	3438	53870
60	3499	53871
61	3560	53863
62	3596	53491
63	3651	53400
64	3714	53433
65	3775	53432
66	3833	53376
67	3893	53364
68	3950	53305
69	4008	53256
70	4068	53228
71	4126	53192
72	4186	53168
73	4243	53096
74	4300	53033
75	4360	53014
76	4421	52998
77	4481	52970
78	4528	52799
79	4587	52755
80	4645	52709
81	4704	52666
82	4762	52616
83	4829	52662
84	4889	52631
85	4949	52607
86	5012	52603
87	5074	52594
88	5116	52376
89	5149	52067
90	5206	52009
91	5267	51989
92	5321	51903
93	5379	51850
94	5439	51813
95	5508	51868
96	5573	51881
97	5631	51836
98	5697	51852
99	5756	51804
100	5812	51737
101	5873	51711
102	5931	51653
103	5990	51610
104	6051	51583
105	6109	51527
106	6178	51567
107	6221	51382
108	6247	51067
109	6303	51000
110	6366	50989
111	6424	50933
112	6478	50854
113	6534	50782
114	6593	50742
115	6658	50739
116	6718	50706
117	6779	50672
118	6822	50507
119	6885	50495
120	6962	50576
121	7058	50794
122	7196	51309
123	7325	51749
124	7448	52136
125	7572	52523
126	7708	52986
127	7829	53337
128	7976	53855
129	8102	54223
130	8197	54379
131	8317	54694
132	8437	55004
133	8565	55358
134	8694	55710
135	8740	55527
136	8787	55354
137	8914	55680
138	9036	55973
139	9160	56268
140	9199	56045
141	9320	56319
142	9441	56581
143	9538	56701
144	9658	56953
145	9793	57286
146	9915	57536
147	10039	57797
148	10160	58033
149	10278	58245
150	10428	58633
151	10559	58910
152	10698	59224
153	10740	59001
154	10828	59034
155	10956	59276
156	11089	59545
157	11141	59371
158	11257	59541
159	11381	59753
160	11518	60022
161	11647	60250
162	11767	60426
163	11883	60576
164	12009	60775
165	12134	60964
166	12273	61221
167	12408	61450
168	12553	61727
169	12606	61551
170	12746	61792
171	12803	61634
172	12938	61850
173	13067	62031
174	13201	62234
175	13316	62344
176	13437	62482
177	13592	62767
178	13708	62875
179	13846	63079
180	13976	63243
181	14137	63539
182	14272	63719
183	14426	63978
184	14525	63992
185	14674	64220
186	14808	64382
187	14946	64554
188	15073	64681
189	15203	64816
190	15349	65016
191	15486	65173
192	15614	65288
193	15747	65423
194	15784	65162
195	15874	65118
196	16000	65221
197	16145	65398
198	16264	65466
199	16387	65548
200	16517	65659
201	16663	65828
202	16775	65864
203	16859	65784
204	16920	65619
205	16968	65402
206	17018	65197
207	17068	64991
208	17118	64788
209	17170	64594
210	17222	64400
211	17282	64238
212	17403	64304
213	17472	64174
214	17491	63865
215	17541	63670
216	17591	63476
217	17655	63331
218	17775	63391
219	17896	63450
220	17967	63333
221	18011	63121
222	18065	62944
223	18118	62767
224	18183	62633
225	18231	62439
226	18248	62142
227	18336	62087
228	18388	61910
229	18437	61727
230	18487	61544
231	18546	61394
232	18595	61213
233	18644	61033
234	18694	60855
235	18746	60687
236	18814	60571
237	18880	60450
238	18932	60282
239	18984	60117
240	19037	59955
241	19093	59806
242	19149	59653
243	19199	59487
244	19250	59324
245	19307	59176
246	19362	59028
247	19442	58953
248	19497	58806
249	19553	58660
250	19610	58517
251	19687	58438
252	19720	58227
253	19776	58084
254	19808	57871
255	19827	57624
256	19882	57482
257	19940	57348
258	19995	57208
259	20056	57083
260	20125	56984
261	20188	56867
262	20257	56766
263	20319	56649
264	20390	56554
265	20449	56427
266	20507	56299
267	20565	56170
268	20613	56017
269	20683	55923
270	20722	55744
271	20761	55568
272	20809	55415
273	20883	55333
274	20929	55177
275	20976	55025
276	21030	54892
277	21098	54794
278	21147	54650
279	21201	54517
280	21253	54381
281	21312	54263
282	21372	54149
283	21401	53954
284	21459	53835
285	21517	53717
286	21576	53602
287	21632	53480
288	21693	53369
289	21754	53260
290	21813	53147
291	21868	53023
292	21930	52918
293	21988	52801
294	22047	52690
295	22107	52579
296	22165	52466
297	22228	52363
298	22288	52254
299	22352	52156
300	22413	52050
301	22475	51945
302	22536	51840
303	22597	51737
304	22659	51634
305	22714	51516
306	22776	51414
307	22832	51300
